"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","water_date","PRCP","SNOW"
"39","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-29,2007-10-29,0,0
"40","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-30,2007-10-30,0,0
"41","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-31,2007-10-31,0.2,0
"42","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-01,2007-11-01,0.13,0
"43","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-02,2007-11-02,1.02,0
"44","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-03,2007-11-03,0.71,0
"45","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-04,2007-11-04,1.38,0
"46","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-05,2007-11-05,0.38,0
"47","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-06,2007-11-06,1.18,0
"48","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-07,2007-11-07,0.16,0
"49","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-08,2007-11-08,0.3,0
"50","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-09,2007-11-09,0.67,0
"51","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-10,2007-11-10,0.3,0
"52","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-11,2007-11-11,0.59,0
"53","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-12,2007-11-12,1.31,0
"54","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-13,2007-11-13,0.75,0
"55","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-14,2007-11-14,0.02,0
"56","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-15,2007-11-15,0,0
"57","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-16,2007-11-16,0,0
"58","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-17,2007-11-17,0,0
"59","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-18,2007-11-18,0.01,0
"60","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-19,2007-11-19,0.02,0
"61","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-20,2007-11-20,0.51,0
"62","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-21,2007-11-21,0.12,0
"63","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-22,2007-11-22,0.24,0
"64","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-23,2007-11-23,0.02,0
"65","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-24,2007-11-24,0,0
"66","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-25,2007-11-25,0,0
"67","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-26,2007-11-26,0,0
"68","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-27,2007-11-27,0,0
"69","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-11-30,2007-11-30,0,0
"70","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-01,2007-12-01,0.01,0
"71","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-02,2007-12-02,0.59,0
"72","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-03,2007-12-03,0.03,0
"73","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-04,2007-12-04,0,0
"74","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-05,2007-12-05,0,0
"75","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-06,2007-12-06,0,0
"76","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-07,2007-12-07,0,0
"77","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-08,2007-12-08,0.16,0
"78","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-09,2007-12-09,0.02,0
"79","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-10,2007-12-10,0,0
"80","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-11,2007-12-11,0,0
"81","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-12,2007-12-12,0,0
"82","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-13,2007-12-13,0.85,0
"83","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-14,2007-12-14,0.29,0
"84","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-15,2007-12-15,0.85,0
"85","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-16,2007-12-16,0,0
"86","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-17,2007-12-17,0,0
"87","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-18,2007-12-18,0.23,0
"88","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-19,2007-12-19,0.23,0
"89","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-20,2007-12-20,0.22,0
"90","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-21,2007-12-21,0.57,0
"91","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-22,2007-12-22,0.95,0
"92","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-23,2007-12-23,0.28,0
"93","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-24,2007-12-24,0.05,0
"94","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-25,2007-12-25,0.53,0
"95","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-26,2007-12-26,0.39,0
"96","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-27,2007-12-27,0.87,0
"97","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-28,2007-12-28,1.38,0
"98","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-29,2007-12-29,0.71,0
"99","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-30,2007-12-30,0.04,0
"100","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-12-31,2007-12-31,0.19,0
"101","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-01,2008-01-01,0,0
"102","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-02,2008-01-02,0.54,0
"103","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-03,2008-01-03,0.37,0
"104","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-04,2008-01-04,1.34,0
"105","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-05,2008-01-05,0.67,0
"106","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-06,2008-01-06,0.9,0
"107","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-07,2008-01-07,0.78,0
"108","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-08,2008-01-08,0.79,0
"109","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-09,2008-01-09,0.27,0
"110","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-10,2008-01-10,0.48,0
"111","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-11,2008-01-11,0.18,0
"112","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-12,2008-01-12,0.47,0
"113","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-13,2008-01-13,0.05,0
"114","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-14,2008-01-14,0.01,0
"115","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-15,2008-01-15,0.51,0
"116","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-16,2008-01-16,0.04,0
"117","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-17,2008-01-17,0,0
"118","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-18,2008-01-18,0,0
"119","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-19,2008-01-19,0,0
"120","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-20,2008-01-20,0.34,0
"121","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-21,2008-01-21,0.15,0
"122","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-22,2008-01-22,0.01,0
"123","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-23,2008-01-23,0,0
"124","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-24,2008-01-24,0,0
"125","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-25,2008-01-25,0.12,0
"126","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-26,2008-01-26,0,0
"127","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-27,2008-01-27,1.86,0
"128","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-28,2008-01-28,0.42,0
"129","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-29,2008-01-29,1,0
"130","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-30,2008-01-30,0.35,0
"131","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-01-31,2008-01-31,1.04,0
"132","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-01,2008-02-01,0.22,0
"133","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-02,2008-02-02,1.37,0
"134","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-03,2008-02-03,1.05,0
"135","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-04,2008-02-04,0.3,0
"136","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-05,2008-02-05,0.09,0
"137","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-06,2008-02-06,0.26,0
"138","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-07,2008-02-07,0.69,0
"139","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-08,2008-02-08,0.13,0
"140","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-09,2008-02-09,0.12,0
"141","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-10,2008-02-10,0.06,0
"142","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-11,2008-02-11,0.09,0
"143","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-12,2008-02-12,0.01,0
"144","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-13,2008-02-13,0.09,0
"145","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-14,2008-02-14,0.01,0
"146","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-15,2008-02-15,0.01,0
"147","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-16,2008-02-16,0.01,0
"148","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-17,2008-02-17,0.01,0
"149","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-18,2008-02-18,0,0
"150","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-19,2008-02-19,0,0
"151","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-20,2008-02-20,0.1,0
"152","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-21,2008-02-21,0.01,0
"153","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-22,2008-02-22,0.19,0
"154","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-23,2008-02-23,0.03,0
"155","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-24,2008-02-24,0.09,0
"156","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-25,2008-02-25,0.24,0
"157","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-26,2008-02-26,0.01,0
"158","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-27,2008-02-27,0,0
"159","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-28,2008-02-28,0,0
"160","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-02-29,2008-02-29,0,0
"161","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-01,2008-03-01,0.36,0
"162","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-02,2008-03-02,0.17,0
"163","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-03,2008-03-03,0.01,0
"164","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-04,2008-03-04,0.23,0
"165","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-05,2008-03-05,0.01,0
"166","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-06,2008-03-06,0.01,0
"167","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-07,2008-03-07,0,0
"168","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-08,2008-03-08,0.63,0
"169","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-09,2008-03-09,0.01,0
"170","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-10,2008-03-10,0,0
"171","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-11,2008-03-11,0.16,0
"172","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-12,2008-03-12,0.02,0
"173","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-13,2008-03-13,0.45,0
"174","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-14,2008-03-14,0.64,0
"175","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-15,2008-03-15,0.33,0
"176","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-16,2008-03-16,0.16,0
"177","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-17,2008-03-17,0.08,0
"178","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-18,2008-03-18,1.59,0
"179","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-19,2008-03-19,0.25,0
"180","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-20,2008-03-20,0.41,0
"181","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-21,2008-03-21,0.5,0
"182","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-22,2008-03-22,0.05,0
"183","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-23,2008-03-23,0.16,0
"184","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-24,2008-03-24,0.22,0
"185","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-25,2008-03-25,0,0
"186","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-26,2008-03-26,0.39,0
"187","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-27,2008-03-27,0.24,0
"188","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-28,2008-03-28,0.28,0
"189","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-29,2008-03-29,0.2,0
"190","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-30,2008-03-30,0.28,0
"191","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-03-31,2008-03-31,0.02,0
"192","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-01,2008-04-01,0.01,0
"193","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-02,2008-04-02,0,0
"194","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-03,2008-04-03,0.01,0
"195","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-04,2008-04-04,0.01,0
"196","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-05,2008-04-05,0.34,0
"197","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-06,2008-04-06,0.51,0
"198","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-07,2008-04-07,0.13,0
"199","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-08,2008-04-08,0.4,0
"200","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-09,2008-04-09,0.08,0
"201","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-10,2008-04-10,0.04,0
"202","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-11,2008-04-11,0.1,0
"203","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-12,2008-04-12,0.01,0
"204","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-13,2008-04-13,0,0
"205","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-14,2008-04-14,0,0
"206","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-15,2008-04-15,0.19,0
"207","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-16,2008-04-16,0.05,0
"208","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-17,2008-04-17,0.01,0
"209","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-18,2008-04-18,0.01,0
"210","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-19,2008-04-19,0.09,0
"211","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-20,2008-04-20,0.52,0
"212","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-21,2008-04-21,0.47,0
"213","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-22,2008-04-22,0.83,0
"214","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-23,2008-04-23,0.64,0
"215","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-24,2008-04-24,0.56,0
"216","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-25,2008-04-25,0.01,0
"217","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-26,2008-04-26,0,0
"218","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-04-27,2008-04-27,0,0
